Fwy,District,County,City,CA PM,Abs PM,Length,ID,Name,Lanes,Type,Sensor Type,HOV,MS ID,IRM
US101-S,4.00,Marin,San Rafael,9.96,450.57,,418224,Francisco Blvd West on,2.00,On Ramp,loops,No,DT796,a2-S-27-101-00996
US101-S,4.00,Marin,San Rafael,9.96,450.57,1.18,402139,Francisco Blvd West rm-s-diag,4.00,Mainline,loops,No,DT796,L4-S-27-101-00996
US101-S,4.00,Marin,San Rafael,9.96,450.57,,418223,Francisco Blvd West off,1.00,Off Ramp,loops,No,DT796,z1-S-27-101-00996
US101-S,4.00,Marin,San Rafael,11.41,452.02,0.95,403316,Bell st ped oc,4.00,Mainline,loops,No,DTB09,L4-S-27-101-01141
US101-S,4.00,Marin,San Rafael,11.85,452.46,0.35,403314,S of Lincoln Ave,4.00,Mainline,loops,No,DTB08,L4-S-27-101-01185
US101-S,4.00,Marin,San Rafael,12.11,452.72,0.30,416911,Lincoln Ave rm-s-diag,4.00,Mainline,loops,No,DTB07,L4-S-27-101-01211
US101-S,4.00,Marin,San Rafael,12.44,453.05,0.55,403312,N of Lincoln Ave,5.00,Mainline,loops,No,DTB05,L5-S-27-101-01244
US101-S,4.00,Marin,San Rafael,13.2,453.81,0.58,402590,4A5334 loc 24,4.00,Mainline,magnetometers,No,DS321,N4-S-27-101-01320
US101-S,4.00,Marin,San Rafael,13.6,454.21,0.50,402592,4A5334 loc 26,4.00,Mainline,magnetometers,No,DS322,N4-S-27-101-01360
US101-S,4.00,Marin,San Rafael,14.2,454.81,0.55,402594,4A5334 loc 27,4.00,Mainline,magnetometers,No,DS323,N4-S-27-101-01420
US101-S,4.00,Marin,,14.7,455.31,0.35,402596,4A5334 loc 28,4.00,Mainline,magnetometers,No,DS324,N4-S-27-101-01470
US101-S,4.00,Marin,,14.9,455.51,0.35,402598,4A5334 loc 29,4.00,Mainline,magnetometers,No,DS325,N4-S-27-101-01490
US101-S,4.00,Marin,,15.4,456.01,0.48,402600,4A5334 loc 31,4.00,Mainline,magnetometers,No,DS326,N4-S-27-101-01540
US101-S,4.00,Marin,,15.85,456.46,0.38,400382,oppo N of Miller Creek Rd,4.00,Mainline,loops,No,DT555,L4-S-27-101-01585
US101-S,4.00,Marin,Novato,16.15,456.76,0.23,400011,2600' N of Miller Creek Rd,5.00,Mainline,loops,No,DT556,L5-S-27-101-01615
US101-S,4.00,Marin,,16.3,456.91,0.29,400525,2000' S of Pacheco Creek OC,5.00,Mainline,loops,No,DTB46,L5-S-27-101-01630
US101-S,4.00,Marin,,16.72,457.33,0.37,400782,N OF PACHECO CREEK OC,4.00,Mainline,loops,No,DT557,L4-S-27-101-01672
US101-S,4.00,Marin,,17.04,457.65,0.31,400460,2000' N of Pacheco Creek OC,4.00,Mainline,loops,No,DTB44,L4-S-27-101-01704
US101-S,4.00,Marin,Novato,17.33,457.94,0.38,400727,S of Los Robles Rd,4.00,Mainline,loops,No,DT559,L4-S-27-101-01733
US101-S,4.00,Marin,,17.79,458.40,0.32,400392,N of Posada Del sol,4.00,Mainline,loops,No,DT560,L4-S-27-101-01779
US101-S,4.00,Marin,,17.96,458.57,0.23,400620,Ignacio Blvd on-s-diag,4.00,Mainline,loops,No,DT561,L4-S-27-101-01796
US101-S,4.00,Marin,,17.98,458.59,,422143,Ignacio Blvd off,1.00,Off Ramp,loops,No,DT561,z1-S-27-101-01798
US101-S,4.00,Marin,,18.24,458.85,0.33,400304,N OF IGNACIO BLVD,4.00,Mainline,loops,No,DT562,L4-S-27-101-01824
US101-S,4.00,Marin,,18.62,459.23,0.26,400143,2200' N of Ignasio Blvd,5.00,Mainline,loops,No,DT564,L5-S-27-101-01862
US101-S,4.00,Marin,,18.76,459.37,0.31,400513,SR-37 rm-s-fly-diag,4.00,Mainline,loops,No,DT565,L4-S-27-101-01876
US101-S,4.00,Marin,,18.77,459.38,,405259,SR-37 on,3.00,On Ramp,loops,No,DT565,a3-S-27-101-01877
US101-S,4.00,Marin,Novato,19,459.61,,405149,SR-37 conn,1.00,Fwy-Fwy,loops,No,DT028,C1-S-27-101-01900
US101-S,4.00,Marin,Novato,19.23,459.84,,405150,SR-37 conn-s-diag,1.00,Fwy-Fwy,loops,No,DT5A2,C1-S-27-101-01923
US101-S,4.00,Marin,Novato,19.23,459.84,0.42,400000,SR-37 conn-s-diag,4.00,Mainline,loops,No,DT5A2,L4-S-27-101-01923
US101-S,4.00,Marin,Novato,19.59,460.20,0.19,405389,oppo between SR-37 & Rowland,4.00,Mainline,loops,No,DT5A3,L4-S-27-101-01959
US101-S,4.00,Marin,Novato,19.6,460.21,0.16,402605,4A5334 LOC 35,3.00,Mainline,magnetometers,No,DS330,N3-S-27-101-01960
US101-S,4.00,Marin,Novato,19.9,460.51,0.22,402606,4A5334 LOC 36,3.00,Mainline,magnetometers,No,DS331,N3-S-27-101-01990
US101-S,4.00,Marin,Novato,20.04,460.65,0.22,405390,Rowland Blvd rm-s-diag,4.00,Mainline,loops,No,DT5A4,L4-S-27-101-02004
US101-S,4.00,Marin,Novato,20.05,460.66,,405391,Rowland Blvd on,3.00,On Ramp,loops,No,DT5A4,a3-S-27-101-02005
US101-S,4.00,Marin,Novato,20.34,460.95,0.38,405406,oppo Rowland Blvd rm-n-diag,4.00,Mainline,loops,No,DT5A5,L4-S-27-101-02034
US101-S,4.00,Marin,Novato,20.34,460.95,,405405,Rowland Blvd off,1.00,Off Ramp,loops,No,DT5A5,z1-S-27-101-02034
US101-S,4.00,Marin,Novato,R20.8,461.41,0.36,402608,4A5334 loc 37,3.00,Mainline,magnetometers,No,DS332,N3-S-27-101-02080
US101-S,4.00,Marin,Novato,21.04,461.65,,405396,De Long Blvd on,2.00,On Ramp,loops,No,DT5A6,a2-S-27-101-02104
US101-S,4.00,Marin,Novato,21.06,461.67,0.22,405395,De Long Blvd rm-s-diag,3.00,Mainline,loops,No,DT5A6,L3-S-27-101-02106
US101-S,4.00,Marin,Novato,21.23,461.84,0.12,405398,oppo De Long Blvd rm-n-diag,3.00,Mainline,loops,No,DT5A7,L3-S-27-101-02123
US101-S,4.00,Marin,Novato,21.25,461.86,,405397,De Long Blvd off,1.00,Off Ramp,loops,No,DT5A7,z1-S-27-101-02125
US101-S,4.00,Marin,Novato,R21.3,461.91,0.24,402610,4A5334 loc 40,3.00,Mainline,magnetometers,No,DS333,N3-S-27-101-02130
US101-S,4.00,Marin,,R21.7,462.31,0.31,402611,4A5334 LOC 41,3.00,Mainline,magnetometers,No,DS334,N3-S-27-101-02170
US101-S,4.00,Marin,,21.91,462.52,0.20,405399,Atherton Ave rm-s-diag,3.00,Mainline,loops,No,DT5A8,L3-S-27-101-02191
US101-S,4.00,Marin,,21.91,462.52,,405404,Atherton Ave on,2.00,On Ramp,loops,No,DT5A8,a2-S-27-101-02191
