zone_id,display_name,state,rtmc,timezone,road,direction,location_description,lane_type,organization,detector_type,latitude,longitude,bearing,default_speed,interval,length
4093,091-135-0NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-135_0-SB-VDS,Unknown,FDOT,Radar,27.1665610,-80.3081050,,70,60,
4096,091-136-0NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-136_0-SB-VDS,Unknown,FDOT,Radar,27.1791220,-80.3166890,,70,60,
4098,091-136-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-136_4-SB-VDS,Unknown,FDOT,Radar,27.1841040,-80.3200790,,70,60,
4108,091-143-8NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-143_8-SB-VDS,Unknown,FDOT,Radar,27.2835860,-80.3644320,,70,60,
4113,091-140-2NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-140_2-SB-VDS,Unknown,FDOT,Radar,27.2349750,-80.3439070,,70,60,
4115,091-140-7NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-140_7-SB-VDS,Unknown,FDOT,Radar,27.2410400,-80.3454530,,70,60,
4117,091-139-2NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-139_2-SB-VDS,Unknown,FDOT,Radar,27.2210470,-80.3394120,,70,60,
4120,091-139-7NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-139_7-SB-VDS,Unknown,FDOT,Radar,27.2272030,-80.3418960,,70,60,
4122,091-142-0NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-142_0-SB-VDS,Unknown,FDOT,Radar,27.2600650,-80.3511790,,70,60,
4133,091-141-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-141_1-SB-VDS,Unknown,FDOT,Radar,27.2473180,-80.3471710,,70,60,
4135,091-143-5NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-143_5-SB-VDS,Unknown,FDOT,Radar,27.2788660,-80.3617260,,70,60,
4146,091-144-2NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-144_2-SB-VDS,Unknown,FDOT,Radar,27.2886940,-80.3672390,,70,60,
4149,091-144-6NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-144_6-NB-VDS,Unknown,FDOT,Radar,27.2936230,-80.3693620,,70,60,
4344,091-119-8NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-119_8-SB-VDS,Unknown,FDOT,Radar,26.9819670,-80.1858370,,70,60,
4346,091-119-3NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-119_3-SB-VDS,Unknown,FDOT,Radar,26.9752070,-80.1810190,,70,60,
4348,091-118-8NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-118_8-SB-VDS,Unknown,FDOT,Radar,26.9683020,-80.1757760,,70,60,
4350,091-118-2NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-118_2-SB-VDS,Unknown,FDOT,Radar,26.9624120,-80.1717440,,70,60,
4352,091-121-3NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-121_3-SB-VDS,Unknown,FDOT,Radar,26.9979030,-80.2000230,,70,60,
4354,091-120-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-120_9-SB-VDS,Unknown,FDOT,Radar,26.9938560,-80.1956370,,70,60,
4356,091-120-3NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-120_3-SB-VDS,Unknown,FDOT,Radar,26.9870040,-80.1893370,,70,60,
4364,091-124-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-124_4-SB-VDS,Unknown,FDOT,Radar,27.0291390,-80.2349560,,70,60,
4366,091-123-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-123_9-SB-VDS,Unknown,FDOT,Radar,27.0243020,-80.2303380,,70,60,
4368,091-125-3NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-125_3-SB-VDS,Unknown,FDOT,Radar,27.0424040,-80.2395700,,70,60,
4370,091-124-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-124_9-SB-VDS,Unknown,FDOT,Radar,27.0364600,-80.2386470,,70,60,
4372,091-126-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-126_4-SB-VDS,Unknown,FDOT,Radar,27.0581490,-80.2409900,,70,60,
4374,091-125-8NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-125_8-SB-VDS,Unknown,FDOT,Radar,27.0493790,-80.2395700,,70,60,
4376,091-122-3NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-122_3-SB-VDS,Unknown,FDOT,Radar,27.0077680,-80.2113530,,70,60,
4378,091-121-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-121_9-SB-VDS,Unknown,FDOT,Radar,27.0039270,-80.2072440,,70,60,
4380,091-123-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-123_4-SB-VDS,Unknown,FDOT,Radar,27.0192570,-80.2245280,,70,60,
4382,091-122-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-122_9-SB-VDS,Unknown,FDOT,Radar,27.0142100,-80.2186700,,70,60,
4384,091-130-7NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-130_7-SB-VDS,Unknown,FDOT,Radar,27.1129800,-80.2718420,,70,60,
4386,091-130-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-130_4-SB-VDS,Unknown,FDOT,Radar,27.1087020,-80.2687950,,70,60,
4388,091-129-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-129_9-SB-VDS,Unknown,FDOT,Radar,27.1035450,-80.2639460,,70,60,
4389,091-129-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-129_4-SB-VDS,Unknown,FDOT,Radar,27.0981580,-80.2593110,,70,60,
4393,091-128-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-128_4-SB-VDS,Unknown,FDOT,Radar,27.0844230,-80.2525090,,70,60,
