zone_id,display_name,state,rtmc,timezone,road,direction,location_description,lane_type,organization,detector_type,latitude,longitude,bearing,default_speed,interval,length
3262,091-199-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-199_4-SB-VDS,Unknown,FDOT,Radar,27.7648680,-80.9543250,,70,60,
3267,091-195-8NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-195_8-SB-VDS,Unknown,FDOT,Radar,27.7289510,-80.9146930,,70,60,
3269,091-196-3NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-196_3-SB-VDS,Unknown,FDOT,Radar,27.7336770,-80.9198860,,70,60,
3271,091-194-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-194_9-SB-VDS,Unknown,FDOT,Radar,27.7197600,-80.9046800,,70,60,
3273,091-195-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-195_4-SB-VDS,Unknown,FDOT,Radar,27.7251000,-80.9104140,,70,60,
3277,091-198-3NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-198_3-SB-VDS,Unknown,FDOT,Radar,27.7520560,-80.9400690,,70,60,
3280,091-196-7NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-196_7-SB-VDS,Unknown,FDOT,Radar,27.7384980,-80.9252640,,70,60,
3283,091-197-3NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-197_3-SB-VDS,Unknown,FDOT,Radar,27.7440630,-80.9313580,,70,60,
3727,091-150-8NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-150_8-SB-VDS,Unknown,FDOT,Radar,27.3806420,-80.3871610,,70,60,
3729,091-151-3NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-151_3-SB-VDS,Unknown,FDOT,Radar,27.3876140,-80.3906830,,70,60,
3733,091-150-3NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-150_3-SB-VDS,Unknown,FDOT,Radar,27.3738450,-80.3839070,,70,60,
3746,091-152-5NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-152_5-SB-VDS,Unknown,FDOT,Radar,27.4033330,-80.3983620,,70,60,
3748,091-151-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-151_9-SB-VDS,Unknown,FDOT,Radar,27.3958040,-80.3947160,,70,60,
3756,091-151-6NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-151_6-SB-VDS,Unknown,FDOT,Radar,27.3917060,-80.3926900,,70,60,
3759,091-154-2NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-154_2-SB-VDS,Unknown,FDOT,Radar,27.4248350,-80.4119490,,70,60,
3761,091-154-6NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-154_6-SB-VDS,Unknown,FDOT,Radar,27.4298510,-80.4161080,,70,60,
3765,091-153-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-153_4-SB-VDS,Unknown,FDOT,Radar,27.4159370,-80.4043320,,70,60,
3771,091-155-5NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-155_5-SB-VDS,Unknown,FDOT,Radar,27.4399380,-80.4244380,,70,60,
3774,091-157-0NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-157_0-NB-VDS,Unknown,FDOT,Radar,27.4604760,-80.4328170,,70,60,
3777,091-156-5NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-156_5-SB-VDS,Unknown,FDOT,Radar,27.4535240,-80.4293180,,70,60,
3852,091-189-5NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-189_5-SB-VDS,Unknown,FDOT,Radar,27.6547930,-80.8625270,,70,60,
3857,091-193-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-193_4-SB-VDS,Unknown,FDOT,Radar,27.7007660,-80.8949010,,70,60,
3861,091-190-4NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-190_4-SB-VDS,Unknown,FDOT,Radar,27.6647130,-80.8735520,,70,60,
